"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","url","response","question_order","view_history","success","timeout","failed_images","failed_audio","failed_video","stimulus","block","trial_number","jar","bead","previous_bead","choice","correct","highH_score","lowH_score","state","rewarded","state1_action","state2_visited","state1_key","state2_key","state1_rt","state2_rt","two_arm_score_block1","block_num","seq_file","trial_seq_info","two_arm_score_block2","two_arm_score_total","total_bonus"
"image-keyboard-response","53","2071246","0.0-4.0-4.0-1.0-0.13","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","891","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","practice","13","2","2","2","1","false","","","","","","","","","","","","","","","","",""
"image-keyboard-response","54","2071554","0.0-4.0-4.0-1.0-1.13","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","55","2072068","0.0-4.0-4.0-1.0-2.13","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceWrong.png","","","","","","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","56","2072456","0.0-4.0-4.0-1.0-0.14","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","387","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","practice","14","2","2","2","2","true","","","","","","","","","","","","","","","","",""
"image-keyboard-response","57","2072766","0.0-4.0-4.0-1.0-1.14","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","58","2073281","0.0-4.0-4.0-1.0-2.14","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","59","2073886","0.0-4.0-4.0-1.0-0.15","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","604","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","practice","15","1","1","2","2","false","","","","","","","","","","","","","","","","",""
"image-keyboard-response","60","2074198","0.0-4.0-4.0-1.0-1.15","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","61","2074709","0.0-4.0-4.0-1.0-2.15","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceWrong.png","","","","","","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","62","2076446","0.0-4.0-4.0-1.0-0.16","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","1736","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","practice","16","1","2","1","1","false","","","","","","","","","","","","","","","","",""
"image-keyboard-response","63","2076759","0.0-4.0-4.0-1.0-1.16","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","64","2077273","0.0-4.0-4.0-1.0-2.16","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceWrong.png","","","","","","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","65","2077935","0.0-4.0-4.0-1.0-0.17","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","661","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","practice","17","1","1","2","1","true","","","","","","","","","","","","","","","","",""
"image-keyboard-response","66","2078243","0.0-4.0-4.0-1.0-1.17","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","67","2078754","0.0-4.0-4.0-1.0-2.17","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","68","2079226","0.0-4.0-4.0-1.0-0.18","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","471","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","practice","18","1","1","1","1","true","","","","","","","","","","","","","","","","",""
"image-keyboard-response","69","2079531","0.0-4.0-4.0-1.0-1.18","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","70","2080046","0.0-4.0-4.0-1.0-2.18","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","71","2080505","0.0-4.0-4.0-1.0-0.19","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","459","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","practice","19","1","1","1","1","true","","","","","","","","","","","","","","","","",""
"image-keyboard-response","72","2080808","0.0-4.0-4.0-1.0-1.19","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","73","2081322","0.0-4.0-4.0-1.0-2.19","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","74","2085896","0.0-4.0-4.0-2.0","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","4573",""," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","75","2147181","0.0-4.0-5.0","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","61284","","","","[{""page_index"":0,""viewing_time"":58524},{""page_index"":1,""viewing_time"":2760}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","76","2154256","0.0-4.0-6.0-0.0","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","7075",""," ","","","","","","","","<div align=center>In this block, there will be a <b>99%</b> chance that the jar on the next trial will be different from the jar on the current trial.<br><br></div>","","","","","","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","77","2155956","0.0-4.0-6.0-1.0-0.0","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","1700","","f","","","","","","","","./tasks/HMM-beads/Images/NoChoice.png","highH","0","1","1","0","1","true","","","","","","","","","","","","","","","","",""
"image-keyboard-response","78","2156270","0.0-4.0-6.0-1.0-1.0","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","79","2156787","0.0-4.0-6.0-1.0-2.0","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","80","2157516","0.0-4.0-6.0-1.0-0.1","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","729","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","highH","1","2","2","1","1","false","","","","","","","","","","","","","","","","",""
"image-keyboard-response","81","2157831","0.0-4.0-6.0-1.0-1.1","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","82","2158343","0.0-4.0-6.0-1.0-2.1","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceWrong.png","","","","","","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","83","2158856","0.0-4.0-6.0-1.0-0.2","5c1bc0ab84ff14000184c2ce","63690f60c96a0a9a64b48fbc","63692122e86f66446f93f897","512","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","highH","2","1","1","2","1","true","","","","","","","","","","","","","","","","",""
