"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","url","response","question_order","view_history","success","timeout","failed_images","failed_audio","failed_video","stimulus","block","trial_number","jar","bead","previous_bead","choice","correct","lowH_score","highH_score","state","rewarded"
"image-keyboard-response","90","54383","0.0-4.0-8.0-1.0-1.6","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","",""
"image-keyboard-response","91","54896","0.0-4.0-8.0-1.0-2.6","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceWrong.png","","","","","","","","","","",""
"image-keyboard-response","92","54920","0.0-4.0-8.0-1.0-0.7","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","22","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","highH","7","2","2","1","2","true","","","",""
"image-keyboard-response","93","55222","0.0-4.0-8.0-1.0-1.7","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","",""
"image-keyboard-response","94","55734","0.0-4.0-8.0-1.0-2.7","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceCorrect.png","","","","","","","","","","",""
"image-keyboard-response","95","55785","0.0-4.0-8.0-1.0-0.8","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","49","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","highH","8","1","1","2","2","false","","","",""
"image-keyboard-response","96","56095","0.0-4.0-8.0-1.0-1.8","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","",""
"image-keyboard-response","97","56607","0.0-4.0-8.0-1.0-2.8","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceWrong.png","","","","","","","","","","",""
"image-keyboard-response","98","56681","0.0-4.0-8.0-1.0-0.9","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","70","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","highH","9","2","2","1","2","true","","","",""
"image-keyboard-response","99","56996","0.0-4.0-8.0-1.0-1.9","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","",""
